"","x"
"1","water"
"2","water"
"3","water"
"4","water"
"5","water"
"6","water"
"7","water"
"8","water"
"9","water"
"10","water"
"11","water"
"12","water"
"13","water"
"14","water"
"15","water"
"16","forest"
"17","forest"
"18","forest"
"19","forest"
"20","grass"
"21","forest"
"22","forest"
"23","forest"
"24","forest"
"25","grass"
"26","forest"
"27","forest"
"28","forest"
"29","forest"
"30","forest"
"31","forest"
"32","farm"
"33","forest"
"34","forest"
"35","forest"
"36","forest"
"37","forest"
"38","forest"
"39","forest"
"40","forest"
"41","forest"
"42","grass"
"43","orchard"
"44","forest"
"45","grass"
"46","forest"
"47","water"
"48","water"
"49","forest"
"50","forest"
"51","forest"
"52","orchard"
"53","forest"
"54","water"
"55","water"
"56","forest"
"57","forest"
"58","orchard"
"59","forest"
"60","forest"
"61","forest"
"62","forest"
"63","forest"
"64","forest"
"65","forest"
"66","forest"
"67","grass"
"68","forest"
"69","forest"
"70","forest"
"71","grass"
"72","orchard"
"73","grass"
"74","water"
"75","water"
"76","water"
"77","water"
"78","water"
"79","forest"
"80","impervious"
"81","grass"
"82","impervious"
"83","impervious"
"84","impervious"
"85","impervious"
"86","impervious"
"87","forest"
"88","impervious"
"89","impervious"
"90","impervious"
"91","impervious"
"92","impervious"
"93","impervious"
"94","grass"
"95","grass"
"96","farm"
"97","impervious"
"98","impervious"
"99","impervious"
"100","impervious"
"101","forest"
"102","grass"
"103","impervious"
"104","forest"
"105","farm"
"106","impervious"
"107","impervious"
"108","impervious"
"109","grass"
"110","impervious"
"111","grass"
"112","grass"
"113","forest"
"114","impervious"
"115","impervious"
"116","grass"
"117","farm"
"118","grass"
"119","forest"
"120","farm"
"121","farm"
"122","farm"
"123","farm"
"124","farm"
"125","farm"
"126","farm"
"127","farm"
"128","farm"
"129","farm"
"130","farm"
"131","farm"
"132","farm"
"133","farm"
"134","farm"
"135","orchard"
"136","forest"
"137","orchard"
"138","forest"
"139","farm"
"140","farm"
"141","orchard"
"142","impervious"
"143","grass"
"144","farm"
"145","farm"
"146","orchard"
"147","orchard"
"148","orchard"
"149","orchard"
"150","orchard"
"151","orchard"
"152","orchard"
"153","orchard"
"154","farm"
"155","farm"
"156","farm"
"157","orchard"
"158","farm"
"159","farm"
"160","farm"
"161","farm"
"162","farm"
"163","farm"
"164","farm"
"165","farm"
"166","farm"
"167","impervious"
"168","impervious"
"169","impervious"
"170","farm"
"171","farm"
"172","farm"
"173","farm"
"174","impervious"
"175","orchard"
"176","orchard"
"177","orchard"
"178","impervious"
"179","farm"
"180","farm"
"181","orchard"
"182","orchard"
"183","farm"
"184","farm"
"185","orchard"
"186","orchard"
"187","orchard"
"188","orchard"
"189","orchard"
"190","orchard"
"191","orchard"
"192","orchard"
"193","orchard"
"194","orchard"
"195","farm"
"196","orchard"
"197","orchard"
"198","orchard"
"199","orchard"
"200","orchard"
"201","orchard"
"202","orchard"
"203","orchard"
"204","orchard"
"205","orchard"
"206","orchard"
"207","grass"
"208","impervious"
"209","impervious"
"210","impervious"
"211","forest"
"212","grass"
"213","farm"
"214","farm"
"215","farm"
"216","farm"
"217","impervious"
"218","grass"
"219","farm"
"220","impervious"
"221","grass"
"222","impervious"
"223","farm"
"224","impervious"
"225","grass"
"226","impervious"
"227","farm"
"228","farm"
"229","farm"
"230","impervious"
"231","orchard"
"232","orchard"
"233","orchard"
"234","orchard"
"235","orchard"
"236","forest"
"237","grass"
"238","grass"
"239","forest"
"240","forest"
"241","forest"
"242","forest"
"243","forest"
"244","forest"
"245","forest"
"246","forest"
"247","forest"
"248","grass"
"249","grass"
"250","forest"
"251","forest"
"252","forest"
"253","forest"
"254","forest"
"255","forest"
"256","grass"
"257","forest"
"258","grass"
"259","grass"
"260","grass"
"261","forest"
"262","forest"
"263","forest"
"264","grass"
"265","grass"
"266","grass"
"267","grass"
"268","grass"
"269","forest"
"270","forest"
"271","forest"
"272","forest"
"273","forest"
"274","forest"
"275","forest"
"276","impervious"
"277","impervious"
"278","grass"
"279","water"
"280","water"
"281","water"
"282","water"
"283","water"
"284","water"
"285","water"
"286","water"
"287","water"
"288","water"
"289","water"
"290","water"
"291","water"
"292","water"
"293","water"
"294","water"
"295","water"
"296","water"
"297","water"
"298","water"
"299","water"
"300","water"
